WARNING 2024-03-02 23:48:40,611 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,612 Not Found: /static/admin/js/theme.js
WARNING 2024-03-02 23:48:40,614 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:48:40,614 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,614 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,616 Not Found: /static/admin/css/changelists.css
WARNING 2024-03-02 23:48:40,617 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-03-02 23:48:40,618 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2024-03-02 23:48:40,619 Not Found: /static/admin/js/jquery.init.js
WARNING 2024-03-02 23:48:40,620 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,621 "GET /static/admin/css/changelists.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,623 Not Found: /static/admin/js/core.js
WARNING 2024-03-02 23:48:40,623 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,625 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2024-03-02 23:48:40,625 "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,626 "GET /static/admin/js/jquery.init.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,626 Not Found: /static/admin/js/actions.js
WARNING 2024-03-02 23:48:40,627 Not Found: /static/admin/js/urlify.js
WARNING 2024-03-02 23:48:40,627 "GET /static/admin/js/core.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,628 Not Found: /static/admin/js/prepopulate.js
WARNING 2024-03-02 23:48:40,629 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,630 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2024-03-02 23:48:40,630 "GET /static/admin/js/actions.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,630 "GET /static/admin/js/urlify.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:48:40,632 Not Found: /static/admin/js/filters.js
